Ingredient,Total,African,EastAsian,EasternEuropean,LatinAmerican,MiddleEastern,NorthAmerican,NorthernEuropean,SouthAsian,SoutheastAsian,SouthernEuropean,WesternEuropean
almond,2320,44,25,15,57,52,1658,46,26,3,210,184
angelica,1,0,0,0,0,0,1,0,0,0,0,0
anise,223,2,0,2,9,0,124,0,0,1,47,38
anise_seed,84,1,4,0,17,1,23,4,3,0,22,9
apple,2418,6,19,18,26,31,2129,14,20,4,24,127
apple_brandy,37,0,0,0,0,0,25,0,0,0,0,12
apricot,620,23,4,18,10,30,458,1,8,1,27,40
armagnac,11,0,0,0,0,0,4,0,0,0,1,6
artemisia,13,0,12,0,0,0,0,0,0,0,0,1
artichoke,391,1,0,0,1,6,256,0,0,0,113,14
asparagus,438,0,10,1,5,10,309,0,3,5,66,29
avocado,649,1,20,0,288,3,318,2,0,1,11,5
bacon,2156,1,23,29,90,0,1717,3,1,0,125,167
baked_potato,9,0,0,0,1,0,8,0,0,0,0,0
balm,3,0,0,0,0,0,3,0,0,0,0,0
banana,984,4,6,2,38,4,885,1,5,8,7,24
barley,232,4,40,1,2,3,162,1,3,0,4,12
bartlett_pear,23,0,0,0,1,0,17,0,0,0,3,2
basil,3779,8,11,5,82,14,2414,0,4,75,1059,107
bay,1472,15,8,18,79,22,906,6,41,12,188,177
bean,1903,10,96,3,288,9,1177,2,14,62,173,69
beech,1,0,1,0,0,0,0,0,0,0,0,0
beef,4822,31,459,49,475,48,3139,13,18,53,318,219
beef_broth,835,7,139,20,49,5,419,4,4,6,70,112
beef_liver,10,0,2,0,0,0,7,0,0,0,0,1
beer,303,0,4,1,30,1,229,1,0,0,7,30
beet,232,3,7,22,7,8,154,10,2,0,11,8
bell_pepper,5847,103,200,50,604,68,3751,5,106,70,737,153
bergamot,7,0,0,0,0,0,6,0,0,0,0,1
berry,182,0,0,0,0,1,157,2,3,0,11,8
bitter_orange,83,0,1,0,8,0,51,1,1,0,5,16
black_bean,474,1,28,0,216,1,222,0,0,1,4,1
blackberry,169,0,0,1,3,4,142,2,1,0,10,6
blackberry_brandy,4,0,0,0,0,0,3,0,0,0,0,1
black_currant,11,0,0,1,0,0,8,0,0,0,1,1
black_mustard_seed_oil,28,0,0,0,0,0,3,0,25,0,0,0
black_pepper,9752,98,761,88,576,145,6254,33,122,88,1039,548
black_raspberry,8,0,0,0,0,0,8,0,0,0,0,0
black_sesame_seed,26,0,24,0,0,0,0,0,0,0,0,2
black_tea,38,0,4,1,1,1,24,0,5,0,0,2
blueberry,465,0,0,0,2,0,441,2,2,0,7,11
blue_cheese,395,0,0,0,3,0,331,1,0,0,53,7
bone_oil,49,2,22,1,0,4,7,0,0,1,3,9
bourbon_whiskey,156,0,0,0,1,0,147,1,0,0,1,6
brandy,395,3,2,6,15,11,262,6,2,0,34,54
brassica,109,3,27,0,4,2,63,0,4,0,4,2
bread,4553,22,37,28,132,70,3411,14,15,24,499,301
broccoli,901,3,30,0,10,2,744,0,4,7,78,23
brown_rice,337,1,7,1,26,1,287,0,6,1,5,2
brussels_sprout,91,0,1,2,0,0,77,0,0,1,8,2
buckwheat,69,0,39,6,0,1,19,0,0,1,0,3
butter,20744,68,67,201,416,165,17088,160,132,32,1020,1395
buttermilk,1633,0,0,3,42,0,1418,8,9,0,71,82
cabbage,938,4,109,39,37,6,596,8,5,29,39,66
cabernet_sauvignon_wine,17,0,0,0,0,1,13,0,0,0,2,1
cacao,35,0,0,0,0,0,32,0,0,0,2,1
camembert_cheese,12,0,0,0,0,0,4,0,0,0,0,8
cane_molasses,7655,11,78,25,174,35,6876,31,30,53,95,247
caraway,230,26,1,21,0,10,117,12,3,0,4,36
cardamom,368,19,0,1,0,26,165,33,96,3,8,17
carnation,3,0,0,0,0,0,3,0,0,0,0,0
carob,7,0,0,0,0,0,7,0,0,0,0,0
carrot,3570,49,367,27,104,63,2333,14,57,70,233,253
cashew,199,0,2,1,4,2,149,0,30,5,2,4
cassava,22,3,0,0,9,0,2,0,0,1,7,0
catfish,68,0,0,0,4,1,59,0,0,3,1,0
cauliflower,325,4,1,0,3,5,252,2,27,0,18,13
caviar,26,0,2,2,0,1,16,1,0,0,0,4
cayenne,7950,116,1008,13,1946,73,3897,0,300,191,327,79
celery,3603,13,31,22,118,25,2991,5,21,10,227,140
celery_oil,994,0,46,6,40,0,825,1,5,9,13,49
cereal,204,0,0,0,1,0,198,1,0,0,1,3
chamomile,3,0,0,0,0,0,2,0,0,0,0,1
champagne_wine,99,0,1,3,2,1,75,0,0,0,8,9
chayote,26,0,0,0,11,0,14,0,0,1,0,0
cheddar_cheese,3029,0,1,9,495,1,2417,1,1,1,49,54
cheese,3282,3,7,21,543,8,1871,4,5,3,652,165
cherry,1084,0,5,7,12,1,970,4,1,0,36,48
cherry_brandy,34,0,0,4,0,0,18,0,0,0,1,11
chervil,52,2,0,0,0,2,21,1,0,1,5,20
chicken,5294,71,216,25,420,64,3737,3,131,136,339,152
chicken_broth,3454,58,92,20,259,57,2252,3,45,72,439,157
chicken_liver,51,0,0,3,0,3,25,0,0,0,12,8
chickpea,404,39,0,1,18,35,227,0,28,0,55,1
chicory,153,0,14,0,5,1,61,0,1,1,39,31
chinese_cabbage,161,0,157,0,0,0,1,0,0,0,1,2
chive,1315,1,14,17,26,13,1033,8,5,7,71,120
cider,1120,1,11,7,50,4,966,7,13,7,10,44
cilantro,2249,80,62,3,724,65,892,1,180,163,66,13
cinnamon,5603,114,43,34,182,124,4566,38,107,14,171,210
citrus,163,1,17,1,10,1,90,2,0,0,15,26
citrus_peel,4,0,3,0,0,0,0,0,0,0,0,1
clam,461,0,126,2,10,0,211,1,3,4,88,16
clove,10,0,0,0,0,1,7,0,0,0,2,0
cocoa,4801,2,4,19,79,23,4338,6,5,0,139,186
coconut,1710,9,10,1,59,9,1361,4,85,129,23,20
coconut_oil,17,0,0,0,1,0,13,0,3,0,0,0
cod,174,8,21,1,11,2,93,0,4,0,22,12
coffee,716,1,1,5,24,9,568,3,3,2,52,48
cognac,66,0,2,0,2,0,23,1,0,0,2,36
concord_grape,12,0,0,0,0,0,12,0,0,0,0,0
condiment,9,2,0,0,0,2,5,0,0,0,0,0
coriander,1514,104,30,2,83,58,707,9,294,122,50,55
corn,4777,7,88,15,868,13,3428,9,22,22,177,128
corn_flake,225,0,3,0,2,2,211,1,0,0,4,2
corn_grit,162,0,0,1,50,0,108,0,0,0,2,1
cottage_cheese,348,1,0,13,22,6,258,0,0,0,40,8
crab,550,0,40,0,21,1,449,1,4,10,13,11
cranberry,916,2,0,2,4,3,871,1,2,0,14,17
cream,10152,14,24,111,525,44,8124,72,59,16,523,640
cream_cheese,2839,1,8,19,111,9,2567,2,2,1,69,50
cucumber,1810,8,241,9,46,33,1212,11,25,52,91,82
cumin,3220,166,19,7,833,115,1449,8,375,101,101,46
cured_pork,314,0,0,1,12,0,170,1,0,0,124,6
currant,241,7,0,5,1,6,143,3,5,0,24,47
date,375,11,3,0,1,19,314,1,2,0,11,13
dill,1108,2,1,43,19,39,879,27,2,2,61,33
durian,1,0,0,0,0,0,0,0,0,1,0,0
eel,20,0,20,0,0,0,0,0,0,0,0,0
egg,20951,48,567,197,519,239,16738,132,49,62,1097,1303
egg_noodle,308,0,6,23,9,10,236,1,0,3,10,10
elderberry,5,0,0,0,0,0,4,0,0,0,0,1
emmental_cheese,1,0,0,0,0,0,0,0,0,0,0,1
endive,114,0,1,0,2,2,54,0,0,0,34,21
enokidake,106,0,102,0,0,0,0,0,0,0,0,4
fennel,907,16,2,1,20,10,471,4,17,1,293,72
fenugreek,871,19,19,2,13,14,509,5,173,70,12,35
feta_cheese,621,4,0,2,9,15,420,0,3,0,162,6
fig,139,2,1,0,1,10,78,0,0,0,33,14
fish,1879,21,507,6,66,20,656,6,13,226,255,103
flower,30,2,0,0,0,1,18,0,0,0,4,5
frankfurter,37,0,4,0,0,0,26,0,0,0,0,7
fruit,481,1,9,8,10,5,375,3,1,1,25,43
galanga,34,0,0,0,0,0,5,0,1,28,0,0
gardenia,9,0,8,0,1,0,0,0,0,0,0,0
garlic,16893,160,1302,88,1752,212,10101,8,295,284,2181,510
gelatin,1410,3,6,4,8,3,1274,5,2,0,52,53
geranium,1,0,0,0,0,0,1,0,0,0,0,0
gin,68,0,1,0,1,0,62,0,0,0,0,4
ginger,3816,84,818,6,52,37,2254,12,264,153,36,100
goat_cheese,259,2,0,0,14,1,163,0,1,0,54,24
grape,345,0,2,0,12,2,283,0,6,0,27,13
grape_brandy,8,0,0,0,0,0,0,0,0,0,8,0
grapefruit,117,0,1,0,12,1,91,0,0,3,4,5
grape_juice,811,3,5,2,16,8,572,0,3,2,162,38
green_bell_pepper,2578,13,12,20,334,10,1980,1,13,11,172,12
green_tea,32,0,15,0,0,0,12,0,0,0,0,5
gruyere_cheese,44,0,1,1,1,0,19,0,0,0,4,18
guava,13,0,0,0,4,0,8,0,0,0,1,0
haddock,31,2,0,1,3,0,18,0,1,0,2,4
ham,1291,0,29,3,37,0,944,5,0,1,192,80
hazelnut,288,4,0,10,4,9,161,1,0,0,54,45
herring,10,0,0,0,0,0,3,7,0,0,0,0
holy_basil,2,0,0,0,0,0,0,0,0,2,0,0
honey,2483,42,105,13,64,43,1955,2,14,24,134,87
hop,3,0,0,0,0,0,2,0,0,0,0,1
horseradish,387,0,6,9,4,9,339,2,0,0,5,13
huckleberry,10,0,0,0,0,0,9,0,0,0,1,0
jamaican_rum,1,0,0,0,0,0,0,0,0,0,0,1
japanese_plum,13,0,12,0,0,0,0,0,0,0,0,1
jasmine,7,0,0,0,0,0,4,0,3,0,0,0
jasmine_tea,1,0,0,0,0,0,1,0,0,0,0,0
juniper_berry,33,1,0,4,0,0,9,3,0,0,6,10
kale,96,0,3,0,1,0,59,0,1,1,29,2
katsuobushi,49,0,46,0,2,0,1,0,0,0,0,0
kelp,178,0,178,0,0,0,0,0,0,0,0,0
kidney_bean,442,2,0,1,100,2,288,0,5,0,36,8
kiwi,105,0,4,0,8,0,74,0,2,0,2,15
kohlrabi,6,0,1,1,0,1,3,0,0,0,0,0
kumquat,28,2,1,0,0,0,21,0,0,0,1,3
lamb,472,46,3,8,10,48,210,3,22,3,78,41
lard,3052,7,11,23,174,16,2552,13,5,1,76,174
laurel,2,0,0,0,0,0,2,0,0,0,0,0
lavender,62,0,0,0,0,0,36,0,0,0,4,22
leaf,9,0,0,0,2,1,2,0,0,0,1,3
leek,411,5,10,4,4,21,224,2,1,1,50,89
lemon,3046,57,47,32,52,88,2221,12,19,17,344,157
lemongrass,137,1,0,0,0,2,30,0,2,96,1,5
lemon_juice,5033,81,43,25,142,160,3755,16,94,26,442,249
lemon_peel,715,8,3,5,5,26,508,1,1,3,107,48
lentil,250,10,1,1,8,10,150,0,32,0,22,16
lettuce,1152,2,78,4,173,16,713,7,9,33,61,56
licorice,20,0,1,0,0,0,18,1,0,0,0,0
lilac_flower_oil,1,0,0,0,0,0,1,0,0,0,0,0
lima_bean,149,1,2,0,11,1,117,0,2,0,11,4
lime,1083,4,7,0,225,5,702,0,29,84,20,7
lime_juice,1427,10,20,2,411,12,766,2,33,132,24,15
lime_peel_oil,100,3,2,0,21,0,68,0,2,2,2,0
lingonberry,9,0,0,0,0,0,3,5,0,0,0,1
litchi,9,0,1,0,0,0,7,0,0,0,0,1
liver,41,0,1,1,0,1,24,0,0,0,8,6
lobster,126,2,2,0,6,0,90,0,1,0,16,9
lovage,142,0,0,1,3,0,133,1,0,0,4,0
macadamia_nut,102,0,0,0,0,0,99,0,0,2,0,1
macaroni,3074,9,12,7,75,12,1924,1,5,17,978,34
mace,115,2,1,4,1,3,89,1,4,1,2,7
mackerel,44,0,40,0,0,0,0,0,0,0,0,4
malt,37,0,1,0,2,1,28,0,1,0,0,4
mandarin,278,0,3,0,2,2,268,0,0,1,1,1
mandarin_peel,10,0,6,0,0,0,2,0,0,1,0,1
mango,388,4,5,0,46,1,249,0,50,17,7,9
maple_syrup,471,0,4,0,1,2,453,0,0,1,1,9
marjoram,528,5,0,13,10,5,440,0,0,2,38,15
mate,1,0,0,0,0,0,1,0,0,0,0,0
matsutake,56,0,50,0,0,0,0,0,0,0,4,2
meat,970,7,37,14,60,12,654,2,9,6,73,96
melon,157,0,5,0,6,1,134,0,2,0,8,1
milk,12895,22,51,94,334,43,10996,56,61,20,525,693
milk_fat,947,5,2,22,47,13,562,6,12,1,134,143
mint,932,33,11,3,41,73,487,1,47,74,125,37
mozzarella_cheese,1290,0,2,4,51,5,764,0,0,1,419,44
mung_bean,19,0,14,0,0,0,1,0,1,3,0,0
munster_cheese,27,0,0,0,2,0,24,0,0,0,0,1
muscat_grape,1,0,0,0,0,0,1,0,0,0,0,0
mushroom,3317,3,170,24,108,8,2506,1,6,26,320,145
mussel,163,1,32,0,4,0,46,2,0,6,40,32
mustard,4096,8,80,15,98,6,3476,21,59,7,74,252
mutton,3,0,0,0,0,0,2,0,0,0,0,1
nectarine,50,0,0,0,1,0,45,0,0,0,2,2
nira,66,0,64,0,0,0,0,0,0,0,1,1
nut,1219,7,164,5,12,26,764,1,10,8,181,41
nutmeg,2512,12,6,13,28,17,2120,14,19,3,125,155
oat,1267,0,0,0,6,1,1216,5,0,0,4,35
oatmeal,60,0,2,0,1,0,52,0,0,0,1,4
octopus,45,1,32,0,1,0,0,0,0,0,10,1
okra,100,2,0,1,4,1,81,0,9,0,2,0
olive,1797,44,3,3,259,25,1018,2,1,1,360,81
olive_oil,9844,196,33,37,556,262,5553,11,93,36,2612,455
onion,18031,189,590,162,1906,221,12311,39,316,126,1451,720
orange,1709,15,20,11,61,36,1302,18,7,3,139,97
orange_flower,18,1,0,0,1,3,4,0,0,0,4,5
orange_juice,1700,12,9,4,82,35,1445,4,2,1,60,46
orange_peel,572,7,3,3,7,15,423,3,1,0,69,41
oregano,3179,4,0,4,529,19,1938,0,4,5,643,33
ouzo,9,0,0,0,0,0,1,0,0,0,8,0
oyster,356,0,145,0,6,0,162,0,0,20,11,12
palm,38,0,2,0,3,0,17,0,2,13,1,0
papaya,46,1,0,0,7,0,29,0,1,5,1,2
parmesan_cheese,3167,5,3,3,37,7,2014,0,4,1,1007,86
parsley,5562,70,42,47,145,134,3683,12,20,8,1025,376
parsnip,139,3,0,3,1,8,102,1,2,0,4,15
passion_fruit,20,1,0,0,3,0,15,0,1,0,0,0
pea,1099,9,63,5,38,10,751,4,49,20,104,46
peach,528,1,0,0,12,1,476,0,8,0,14,16
peanut,453,3,46,0,7,0,337,0,9,42,2,7
peanut_butter,995,13,11,0,7,0,917,0,4,37,0,6
peanut_oil,210,7,54,0,6,3,100,0,6,23,4,7
pear,468,4,88,1,12,7,299,3,5,1,23,25
pear_brandy,11,0,0,0,0,0,8,0,0,0,2,1
pecan,2176,2,1,3,33,11,2075,4,0,1,17,29
pelargonium,1,0,0,0,0,0,1,0,0,0,0,0
pepper,9060,67,136,52,640,87,7000,29,188,123,459,279
peppermint,142,0,0,0,0,0,139,0,2,0,1,0
peppermint_oil,9,1,0,0,0,0,8,0,0,0,0,0
pimenta,2,0,0,0,0,0,0,0,0,0,2,0
pimento,270,2,0,0,27,0,217,0,0,0,23,1
pineapple,1616,3,20,0,50,3,1490,1,8,9,12,20
pistachio,219,6,1,2,0,21,130,0,9,0,27,23
plum,277,12,7,9,8,14,178,6,1,0,17,25
popcorn,97,0,0,0,4,0,92,0,0,0,0,1
porcini,106,0,0,1,1,4,44,0,1,0,46,9
pork,1964,1,245,20,143,2,1300,10,4,39,117,83
pork_liver,5,0,0,0,0,0,3,0,0,1,0,1
pork_sausage,1362,1,10,17,80,1,941,2,0,2,269,39
port_wine,49,0,0,0,1,0,35,5,0,0,2,6
potato,3545,20,88,73,133,48,2562,28,74,8,211,300
potato_chip,65,0,0,0,0,0,64,0,1,0,0,0
prawn,26,1,0,0,0,0,17,0,4,3,1,0
prickly_pear,20,0,0,0,14,0,6,0,0,0,0,0
provolone_cheese,167,0,0,0,0,0,107,0,0,1,56,3
pumpkin,803,2,139,1,18,4,589,0,3,5,20,22
quince,28,2,0,0,0,3,13,0,0,0,7,3
radish,509,2,305,2,31,5,108,3,4,12,10,27
raisin,1903,47,20,30,50,40,1445,12,35,4,67,153
rapeseed,3,0,0,0,0,0,0,0,0,0,3,0
raspberry,784,0,1,2,10,7,681,2,1,0,26,54
raw_beef,2,0,2,0,0,0,0,0,0,0,0,0
red_algae,2,0,2,0,0,0,0,0,0,0,0,0
red_bean,33,0,32,0,0,0,0,0,0,0,0,1
red_kidney_bean,59,0,0,0,9,0,50,0,0,0,0,0
red_wine,1393,18,25,14,68,30,823,8,4,1,277,125
rhubarb,169,0,0,0,0,2,155,1,0,0,2,9
rice,3395,25,849,19,215,27,1720,4,101,163,226,46
roasted_almond,3,0,0,0,0,0,2,0,0,0,1,0
roasted_beef,222,1,2,3,19,3,163,1,3,3,13,11
roasted_hazelnut,1,0,0,0,0,0,1,0,0,0,0,0
roasted_meat,15,0,0,0,1,0,14,0,0,0,0,0
roasted_nut,1,0,0,0,0,0,1,0,0,0,0,0
roasted_peanut,165,6,6,0,8,0,103,0,6,36,0,0
roasted_pecan,1,0,0,0,0,0,1,0,0,0,0,0
roasted_pork,125,0,3,3,15,0,93,1,0,2,5,3
roasted_sesame_seed,593,3,492,1,1,26,58,0,0,2,5,5
romano_cheese,275,0,0,0,2,0,124,1,0,0,143,5
root,74,0,5,1,4,3,36,0,1,14,5,5
roquefort_cheese,23,0,0,0,0,0,16,0,0,0,1,6
rose,63,5,0,0,0,18,26,0,6,0,3,5
rosemary,1890,4,1,2,21,17,1387,1,1,2,372,82
rum,602,1,1,7,35,3,463,2,1,1,36,52
rutabaga,34,2,0,1,0,1,21,1,0,0,0,8
rye_bread,91,0,0,4,0,0,73,9,0,0,3,2
rye_flour,130,1,0,4,0,4,92,18,0,0,5,6
saffron,236,38,0,1,5,16,61,1,17,1,71,25
sage,903,1,0,3,8,7,730,1,1,2,122,28
sake,624,0,465,0,6,0,135,0,0,3,0,15
salmon,434,2,16,2,9,4,345,5,9,4,12,26
salmon_roe,13,0,3,2,0,0,4,1,0,0,1,2
sassafras,18,0,0,0,0,0,18,0,0,0,0,0
sauerkraut,184,0,1,28,1,0,126,0,0,0,0,28
savory,127,0,1,3,0,1,87,0,1,0,10,24
scallion,4342,16,1188,10,385,57,2293,4,37,128,155,69
scallop,268,0,18,1,8,1,161,1,5,5,42,26
sea_algae,4,0,4,0,0,0,0,0,0,0,0,0
seaweed,188,0,173,0,0,0,13,0,0,0,1,1
seed,1313,22,7,36,96,21,935,14,50,11,46,75
sesame_oil,1341,0,937,0,5,0,330,0,7,48,1,13
sesame_seed,655,12,185,1,22,26,364,0,3,10,24,8
shallot,1187,8,25,6,23,12,721,4,10,69,140,169
sheep_cheese,2,0,0,0,0,0,0,0,0,0,1,1
shellfish,27,0,23,0,0,0,1,0,0,0,2,1
sherry,630,3,51,1,23,4,394,3,5,6,91,49
shiitake,511,0,317,2,8,1,115,0,0,14,37,17
shrimp,1543,6,356,0,89,4,790,9,24,81,145,39
smoke,456,5,2,9,25,5,308,3,3,0,67,29
smoked_fish,6,0,0,0,0,0,6,0,0,0,0,0
smoked_salmon,97,0,4,2,1,2,64,5,0,0,10,9
smoked_sausage,268,0,0,16,8,1,218,0,0,0,11,14
sour_cherry,48,0,1,2,0,1,32,1,0,0,4,7
sour_milk,46,0,0,0,1,0,45,0,0,0,0,0
soybean,1034,1,627,0,6,4,330,0,9,26,21,10
soybean_oil,2,0,0,0,0,0,2,0,0,0,0,0
soy_sauce,3236,3,1358,2,53,4,1620,0,7,144,13,32
spearmint,5,0,0,0,0,0,4,0,0,0,1,0
squash,558,15,1,0,32,12,433,1,3,5,46,10
squid,228,1,144,0,3,0,21,0,0,7,44,8
star_anise,91,1,21,0,0,1,37,0,2,16,3,10
starch,2585,5,346,10,49,31,1920,11,7,24,65,117
strawberry,1078,0,4,5,13,17,948,2,3,0,36,50
strawberry_jam,1,0,0,0,0,0,0,0,0,0,0,1
strawberry_juice,2,0,0,0,0,0,0,0,0,0,0,2
sturgeon_caviar,1,0,0,0,0,0,1,0,0,0,0,0
sumac,14,0,0,0,0,9,4,0,0,0,1,0
sunflower_oil,8,1,0,0,0,1,1,0,4,0,1,0
sweet_potato,518,11,25,2,13,15,427,0,6,3,4,12
swiss_cheese,522,0,0,5,5,0,458,0,0,0,8,46
tabasco_pepper,965,1,9,5,96,1,800,1,3,10,18,21
tamarind,1663,3,11,10,75,2,1419,3,32,22,32,54
tangerine,44,0,10,0,1,1,21,0,0,2,0,9
tarragon,476,0,1,1,4,5,355,2,0,1,35,72
tea,101,0,1,1,0,3,77,1,8,3,0,7
tequila,142,0,0,0,64,0,74,0,0,0,3,1
thai_pepper,87,1,11,0,1,2,29,0,1,40,2,0
thyme,3041,17,3,12,72,35,2241,3,4,3,378,273
tomato,9909,100,92,63,1579,110,5822,6,176,54,1593,314
tomato_juice,176,0,0,3,20,3,133,0,1,0,16,0
truffle,52,0,0,0,0,0,24,0,0,0,19,9
tuna,443,2,40,0,17,2,318,0,0,2,39,23
turkey,893,2,2,2,82,3,736,1,3,1,54,7
turmeric,1233,59,19,0,26,35,623,5,319,90,22,35
turnip,183,9,6,3,2,8,114,2,4,0,7,28
vanilla,9025,8,12,56,115,45,8081,38,15,7,269,379
veal,198,2,2,5,1,6,74,3,0,0,72,33
vegetable,1660,14,543,9,53,23,818,3,24,6,102,65
vegetable_oil,10759,60,760,82,732,132,7808,33,265,180,315,392
vinegar,7695,29,543,50,397,42,5666,38,55,98,417,360
violet,6,0,0,1,0,0,4,0,0,1,0,0
walnut,2741,7,21,21,19,51,2444,8,4,1,82,83
wasabi,103,0,55,0,2,0,44,0,0,0,0,2
watercress,132,0,5,1,5,2,94,0,2,5,7,11
watermelon,108,0,4,0,6,0,88,0,2,0,4,4
wheat,20782,114,441,197,660,272,16532,145,75,41,1027,1278
wheat_bread,83,1,0,1,2,0,67,0,1,0,6,5
whiskey,148,0,0,4,1,1,122,1,0,0,4,15
white_bread,370,2,1,5,12,1,284,2,1,0,42,20
white_wine,2166,12,30,16,58,20,1291,13,11,18,486,211
whole_grain_wheat_flour,732,4,1,1,16,8,614,3,9,1,40,35
wine,877,4,150,1,15,8,486,3,4,20,127,59
wood,33,0,0,0,0,0,30,0,0,0,1,2
yam,84,2,0,0,2,7,64,0,3,2,4,0
yeast,3397,9,41,48,63,21,2811,23,10,8,225,138
yogurt,1044,7,3,6,21,57,700,2,148,2,70,28
zucchini,1093,25,4,1,56,30,759,0,13,7,160,38